order_id;user_id;status;gender;created_at;returned_at;shipped_at;delivered_at;num_of_item
94;72;Shipped;M;2022-02-23 05:51:00+00:00;;2022-02-24 17:32:00+00:00;;2
98;73;Complete;F;2021-04-01 10:23:00+00:00;;2021-04-01 16:56:00+00:00;2021-04-05 19:49:00+00:00;2
99;73;Complete;F;2023-01-15 10:23:00+00:00;;2023-01-16 13:12:00+00:00;2023-01-18 19:02:00+00:00;1
96;73;Returned;F;2022-11-23 10:23:00+00:00;2022-11-27 00:11:00+00:00;2022-11-23 11:41:00+00:00;2022-11-24 08:27:00+00:00;2
97;73;Shipped;F;2023-11-17 10:23:00+00:00;;2023-11-17 23:20:00+00:00;;2
100;74;Returned;M;2023-06-23 18:37:00+00:00;2023-06-29 00:37:00+00:00;2023-06-24 06:32:00+00:00;2023-06-28 08:51:00+00:00;4
101;75;Cancelled;M;2023-12-23 13:30:00+00:00;;;;1
102;76;Cancelled;F;2023-01-17 08:17:00+00:00;;;;2
103;76;Returned;F;2022-11-08 08:17:00+00:00;2022-11-13 01:23:00+00:00;2022-11-09 00:15:00+00:00;2022-11-12 02:48:00+00:00;1
105;77;Complete;F;2023-02-03 03:43:00+00:00;;2023-02-03 22:34:00+00:00;2023-02-04 10:57:00+00:00;1
104;77;Processing;F;2023-08-03 03:43:00+00:00;;;;1
106;77;Processing;F;2023-11-28 03:43:00+00:00;;;;1
107;79;Complete;F;2023-07-24 17:31:00+00:00;;2023-07-27 08:53:00+00:00;2023-07-29 08:33:00+00:00;1
108;80;Complete;M;2023-09-01 13:01:00+00:00;;2023-09-04 08:41:00+00:00;2023-09-08 06:07:00+00:00;1
110;81;Complete;F;2021-03-05 01:14:00+00:00;;2021-03-06 08:46:00+00:00;2021-03-06 16:05:00+00:00;1
109;81;Shipped;F;2023-07-13 01:14:00+00:00;;2023-07-13 04:47:00+00:00;;1
111;83;Processing;M;2023-12-26 10:24:00+00:00;;;;1
112;83;Shipped;M;2022-02-07 10:24:00+00:00;;2022-02-08 09:09:00+00:00;;1
113;85;Shipped;F;2023-06-11 16:28:00+00:00;;2023-06-13 16:59:00+00:00;;1
114;87;Processing;F;2022-10-22 07:17:00+00:00;;;;2
115;87;Shipped;F;2022-02-20 07:17:00+00:00;;2022-02-20 16:38:00+00:00;;1
116;88;Cancelled;M;2024-01-09 07:28:00+00:00;;;;1
117;89;Cancelled;F;2023-07-31 13:25:00+00:00;;;;1
118;90;Shipped;M;2023-08-27 12:16:00+00:00;;2023-08-28 01:00:00+00:00;;4
119;91;Shipped;F;2024-01-13 04:31:00+00:00;;2024-01-14 09:50:00+00:00;;3
120;92;Shipped;M;2023-05-13 01:56:00+00:00;;2023-05-14 01:46:00+00:00;;1
121;94;Processing;F;2023-11-23 02:37:00+00:00;;;;2
122;94;Shipped;F;2023-12-14 02:37:00+00:00;;2023-12-16 22:23:00+00:00;;4
123;94;Shipped;F;2023-12-19 02:37:00+00:00;;2023-12-20 13:24:00+00:00;;1
124;97;Complete;F;2022-12-18 13:45:00+00:00;;2022-12-20 10:03:00+00:00;2022-12-24 05:11:00+00:00;1
125;98;Cancelled;M;2022-05-26 16:04:00+00:00;;;;1
126;99;Complete;M;2023-10-22 15:37:00+00:00;;2023-10-22 23:17:00+00:00;2023-10-23 17:35:00+00:00;2
127;100;Returned;F;2023-12-09 15:57:00+00:00;2023-12-13 08:37:00+00:00;2023-12-10 03:13:00+00:00;2023-12-11 23:21:00+00:00;1
128;103;Returned;M;2023-11-19 09:16:00+00:00;2023-11-25 19:22:00+00:00;2023-11-21 18:49:00+00:00;2023-11-25 08:05:00+00:00;1
129;104;Shipped;F;2023-05-30 10:18:00+00:00;;2023-06-01 08:35:00+00:00;;3
131;105;Complete;F;2020-03-19 00:54:00+00:00;;2020-03-19 08:27:00+00:00;2020-03-23 22:45:00+00:00;1
130;105;Returned;F;2021-03-16 00:54:00+00:00;2021-03-21 04:23:00+00:00;2021-03-17 22:12:00+00:00;2021-03-20 19:05:00+00:00;4
133;106;Cancelled;M;2023-08-28 14:15:00+00:00;;;;1
132;106;Shipped;M;2023-12-09 14:15:00+00:00;;2023-12-12 13:18:00+00:00;;4
134;107;Processing;F;2022-11-24 01:14:00+00:00;;;;1
135;109;Returned;F;2023-02-16 02:30:00+00:00;2023-02-21 06:52:00+00:00;2023-02-18 06:26:00+00:00;2023-02-18 10:08:00+00:00;1
136;111;Shipped;F;2023-10-24 18:00:00+00:00;;2023-10-24 18:56:00+00:00;;2
137;111;Shipped;F;2023-11-28 18:00:00+00:00;;2023-11-30 14:45:00+00:00;;1
138;112;Complete;M;2023-12-13 09:21:00+00:00;;2023-12-13 12:35:00+00:00;2023-12-14 18:44:00+00:00;1
139;113;Cancelled;M;2023-03-27 09:05:00+00:00;;;;1
140;113;Shipped;M;2024-01-07 09:05:00+00:00;;2024-01-07 10:08:00+00:00;;1
141;114;Returned;F;2021-09-01 07:04:00+00:00;2021-09-07 12:01:00+00:00;2021-09-03 22:48:00+00:00;2021-09-05 07:03:00+00:00;1
142;115;Shipped;F;2019-09-04 14:50:00+00:00;;2019-09-07 07:50:00+00:00;;1
143;118;Cancelled;F;2020-04-21 02:59:00+00:00;;;;1
144;118;Processing;F;2022-09-18 02:59:00+00:00;;;;1
145;119;Processing;M;2022-01-17 10:44:00+00:00;;;;2
146;119;Processing;M;2022-11-12 10:44:00+00:00;;;;2
148;120;Complete;F;2021-12-31 10:48:00+00:00;;2022-01-03 04:16:00+00:00;2022-01-06 14:12:00+00:00;1
147;120;Shipped;F;2022-04-12 10:48:00+00:00;;2022-04-13 22:22:00+00:00;;1
149;121;Shipped;F;2023-03-30 02:37:00+00:00;;2023-04-02 00:45:00+00:00;;1
150;121;Shipped;F;2022-07-01 02:37:00+00:00;;2022-07-01 22:10:00+00:00;;2
151;122;Shipped;F;2022-12-17 06:41:00+00:00;;2022-12-20 03:51:00+00:00;;2
152;122;Shipped;F;2021-02-04 06:41:00+00:00;;2021-02-06 04:04:00+00:00;;1
153;124;Cancelled;F;2022-07-10 16:42:00+00:00;;;;2
154;125;Complete;F;2021-12-14 13:33:00+00:00;;2021-12-15 03:58:00+00:00;2021-12-16 02:54:00+00:00;1
156;126;Complete;F;2023-12-21 18:17:00+00:00;;2023-12-22 01:02:00+00:00;2023-12-24 00:24:00+00:00;1
155;126;Returned;F;2024-01-14 18:17:00+00:00;2024-01-17 13:04:00+00:00;2024-01-16 11:40:00+00:00;2024-01-17 10:20:00+00:00;2
157;127;Shipped;M;2022-10-26 17:20:00+00:00;;2022-10-26 19:35:00+00:00;;4
158;128;Shipped;M;2023-12-29 12:16:00+00:00;;2023-12-29 12:24:00+00:00;;2
159;129;Cancelled;M;2021-04-25 02:06:00+00:00;;;;1
160;131;Shipped;M;2022-07-01 04:02:00+00:00;;2022-07-01 06:36:00+00:00;;2
161;132;Returned;M;2022-01-04 12:53:00+00:00;2022-01-06 03:28:00+00:00;2022-01-05 06:58:00+00:00;2022-01-05 18:58:00+00:00;1
162;133;Complete;F;2023-11-16 03:06:00+00:00;;2023-11-16 10:06:00+00:00;2023-11-21 01:17:00+00:00;1
163;134;Processing;F;2023-04-27 05:28:00+00:00;;;;1
164;134;Shipped;F;2022-12-19 05:28:00+00:00;;2022-12-19 08:08:00+00:00;;1
165;136;Complete;M;2022-10-09 03:01:00+00:00;;2022-10-11 15:47:00+00:00;2022-10-12 14:31:00+00:00;2
167;137;Complete;M;2021-06-25 00:51:00+00:00;;2021-06-26 23:21:00+00:00;2021-06-28 16:49:00+00:00;1
166;137;Shipped;M;2022-03-11 00:51:00+00:00;;2022-03-13 19:23:00+00:00;;1
168;138;Cancelled;M;2022-08-07 09:29:00+00:00;;;;1
169;138;Shipped;M;2023-08-23 09:29:00+00:00;;2023-08-23 22:35:00+00:00;;1
171;139;Complete;F;2023-06-17 13:42:00+00:00;;2023-06-18 12:27:00+00:00;2023-06-21 22:12:00+00:00;4
170;139;Processing;F;2023-11-02 13:42:00+00:00;;;;2
172;141;Complete;F;2022-09-26 15:54:00+00:00;;2022-09-28 18:40:00+00:00;2022-10-01 13:44:00+00:00;1
173;141;Processing;F;2023-06-26 15:54:00+00:00;;;;1
174;142;Returned;F;2023-07-22 16:21:00+00:00;2023-07-30 11:56:00+00:00;2023-07-24 13:01:00+00:00;2023-07-29 11:59:00+00:00;1
176;145;Cancelled;M;2020-07-26 04:49:00+00:00;;;;1
178;145;Cancelled;M;2020-06-09 04:49:00+00:00;;;;1
175;145;Returned;M;2023-04-16 04:49:00+00:00;2023-04-20 02:20:00+00:00;2023-04-16 05:46:00+00:00;2023-04-17 15:15:00+00:00;1
177;145;Returned;M;2022-12-22 04:49:00+00:00;2022-12-27 09:29:00+00:00;2022-12-25 01:33:00+00:00;2022-12-25 08:35:00+00:00;1
179;146;Complete;M;2023-04-13 06:01:00+00:00;;2023-04-15 08:03:00+00:00;2023-04-15 17:40:00+00:00;1
180;146;Processing;M;2022-09-28 06:01:00+00:00;;;;1
182;147;Cancelled;F;2024-01-15 10:29:28.317841+00:00;;;;3
181;147;Returned;F;2024-01-15 10:29:28.317841+00:00;2024-01-17 09:02:28.317841+00:00;2024-01-17 00:47:28.317841+00:00;2024-01-17 05:23:28.317841+00:00;2
183;148;Cancelled;F;2023-07-04 09:25:00+00:00;;;;1
184;148;Complete;F;2023-12-04 09:25:00+00:00;;2023-12-05 10:31:00+00:00;2023-12-06 15:20:00+00:00;1
185;149;Cancelled;F;2021-08-30 10:43:00+00:00;;;;2
187;151;Complete;F;2023-12-26 05:08:00+00:00;;2023-12-27 12:35:00+00:00;2023-12-28 22:02:00+00:00;1
186;151;Processing;F;2023-10-23 05:08:00+00:00;;;;1
188;152;Shipped;M;2020-07-14 06:05:00+00:00;;2020-07-16 20:58:00+00:00;;1
189;155;Shipped;M;2023-08-09 13:26:00+00:00;;2023-08-10 05:46:00+00:00;;1
190;156;Returned;M;2023-09-14 08:33:00+00:00;2023-09-19 23:47:00+00:00;2023-09-15 07:27:00+00:00;2023-09-17 15:05:00+00:00;2
191;157;Shipped;F;2023-12-07 06:31:00+00:00;;2023-12-08 03:22:00+00:00;;2
192;158;Cancelled;F;2021-02-22 11:12:00+00:00;;;;1
194;158;Cancelled;F;2022-01-06 11:12:00+00:00;;;;2
195;158;Complete;F;2023-02-28 11:12:00+00:00;;2023-03-01 07:15:00+00:00;2023-03-03 20:59:00+00:00;4
193;158;Shipped;F;2019-04-16 11:12:00+00:00;;2019-04-17 08:22:00+00:00;;1
196;159;Shipped;F;2021-03-26 08:40:00+00:00;;2021-03-27 18:56:00+00:00;;2
197;160;Returned;F;2023-12-06 00:52:00+00:00;2023-12-11 07:56:00+00:00;2023-12-06 22:08:00+00:00;2023-12-11 06:36:00+00:00;2
198;160;Shipped;F;2023-10-07 00:52:00+00:00;;2023-10-09 22:48:00+00:00;;1
200;161;Cancelled;M;2023-01-06 00:25:00+00:00;;;;1
201;161;Cancelled;M;2022-03-06 00:25:00+00:00;;;;1
199;161;Complete;M;2022-02-21 00:25:00+00:00;;2022-02-22 23:59:00+00:00;2022-02-23 21:20:00+00:00;1
202;161;Shipped;M;2022-03-10 00:25:00+00:00;;2022-03-12 14:58:00+00:00;;1
203;162;Cancelled;M;2023-08-22 04:43:00+00:00;;;;1
204;166;Complete;M;2023-09-03 08:25:00+00:00;;2023-09-03 17:10:00+00:00;2023-09-08 10:51:00+00:00;1
205;167;Complete;M;2022-07-20 06:13:00+00:00;;2022-07-21 13:30:00+00:00;2022-07-25 16:09:00+00:00;1
206;167;Complete;M;2023-09-01 06:13:00+00:00;;2023-09-02 18:47:00+00:00;2023-09-07 11:20:00+00:00;1
207;168;Processing;M;2023-12-12 01:11:00+00:00;;;;1
208;169;Shipped;F;2020-06-08 14:29:00+00:00;;2020-06-08 22:53:00+00:00;;1
209;170;Returned;F;2023-12-27 11:17:00+00:00;2023-12-31 20:02:00+00:00;2023-12-28 04:57:00+00:00;2023-12-28 23:35:00+00:00;1
212;170;Returned;F;2022-10-09 11:17:00+00:00;2022-10-16 15:38:00+00:00;2022-10-10 02:48:00+00:00;2022-10-14 16:43:00+00:00;1
210;170;Shipped;F;2023-02-14 11:17:00+00:00;;2023-02-15 05:38:00+00:00;;1
211;170;Shipped;F;2023-08-14 11:17:00+00:00;;2023-08-14 19:42:00+00:00;;1
213;171;Shipped;F;2023-01-01 08:05:00+00:00;;2023-01-03 08:32:00+00:00;;1
214;172;Complete;M;2023-10-09 14:15:00+00:00;;2023-10-12 02:44:00+00:00;2023-10-13 03:30:00+00:00;1
217;173;Complete;F;2022-08-30 15:52:00+00:00;;2022-08-31 02:30:00+00:00;2022-09-05 02:20:00+00:00;1
218;173;Complete;F;2023-12-25 15:52:00+00:00;;2023-12-26 00:38:00+00:00;2023-12-30 13:46:00+00:00;3
215;173;Processing;F;2023-06-02 15:52:00+00:00;;;;1
216;173;Returned;F;2022-12-14 15:52:00+00:00;2022-12-20 20:22:00+00:00;2022-12-17 14:33:00+00:00;2022-12-20 00:17:00+00:00;1
219;174;Processing;F;2023-11-13 14:38:00+00:00;;;;2
220;175;Cancelled;F;2023-06-25 06:27:00+00:00;;;;1
221;175;Processing;F;2023-11-03 06:27:00+00:00;;;;1
222;177;Complete;M;2020-09-30 03:30:00+00:00;;2020-10-02 07:39:00+00:00;2020-10-06 12:01:00+00:00;1
223;177;Returned;M;2020-11-14 03:30:00+00:00;2020-11-20 21:03:00+00:00;2020-11-15 08:09:00+00:00;2020-11-19 09:51:00+00:00;2
224;178;Shipped;M;2019-12-20 04:20:00+00:00;;2019-12-21 01:14:00+00:00;;1
225;179;Shipped;M;2023-08-20 02:48:00+00:00;;2023-08-23 00:05:00+00:00;;1
226;181;Shipped;F;2023-09-24 15:24:00+00:00;;2023-09-27 01:20:00+00:00;;2
227;184;Processing;M;2023-11-16 06:49:00+00:00;;;;1
228;185;Complete;M;2020-04-14 10:18:00+00:00;;2020-04-15 12:17:00+00:00;2020-04-20 08:31:00+00:00;2
229;186;Processing;F;2024-01-01 12:08:00+00:00;;;;1
230;187;Processing;F;2023-04-06 05:15:00+00:00;;;;4
231;189;Complete;F;2023-01-09 09:44:00+00:00;;2023-01-12 05:40:00+00:00;2023-01-14 13:59:00+00:00;1
232;190;Processing;F;2024-01-16 13:22:29.851172+00:00;;;;2
235;191;Complete;F;2023-07-14 03:54:00+00:00;;2023-07-17 00:26:00+00:00;2023-07-18 10:11:00+00:00;1
234;191;Processing;F;2022-03-17 03:54:00+00:00;;;;1
233;191;Shipped;F;2022-05-11 03:54:00+00:00;;2022-05-13 20:03:00+00:00;;1
236;192;Complete;F;2022-12-04 18:45:00+00:00;;2022-12-05 08:56:00+00:00;2022-12-09 20:46:00+00:00;3
237;193;Shipped;F;2022-12-20 10:47:00+00:00;;2022-12-22 02:27:00+00:00;;1
238;194;Shipped;F;2020-05-10 15:28:00+00:00;;2020-05-11 15:46:00+00:00;;1
239;197;Cancelled;F;2023-11-06 16:21:00+00:00;;;;1
240;198;Complete;F;2023-12-10 06:30:00+00:00;;2023-12-10 09:57:00+00:00;2023-12-12 10:41:00+00:00;2
241;199;Complete;M;2023-05-03 04:17:00+00:00;;2023-05-06 02:57:00+00:00;2023-05-09 15:22:00+00:00;1
242;201;Returned;F;2023-10-13 15:20:00+00:00;2023-10-17 00:20:00+00:00;2023-10-15 01:57:00+00:00;2023-10-16 02:38:00+00:00;1
243;203;Cancelled;M;2023-10-05 05:09:00+00:00;;;;3
244;203;Shipped;M;2023-07-24 05:09:00+00:00;;2023-07-25 06:14:00+00:00;;2
245;204;Cancelled;M;2020-07-13 15:49:00+00:00;;;;1
246;205;Processing;M;2024-01-04 01:21:00+00:00;;;;2
247;206;Complete;F;2020-04-28 06:20:00+00:00;;2020-04-30 20:00:00+00:00;2020-05-04 07:54:00+00:00;3
248;207;Cancelled;F;2024-01-12 06:10:00+00:00;;;;2
250;208;Cancelled;M;2022-12-15 01:29:00+00:00;;;;1
249;208;Processing;M;2023-06-09 01:29:00+00:00;;;;1
251;209;Cancelled;F;2020-10-06 15:56:00+00:00;;;;2
252;210;Processing;F;2022-08-01 10:56:00+00:00;;;;1
253;211;Shipped;F;2024-01-15 10:38:00+00:00;;2024-01-17 09:15:00+00:00;;3
254;211;Shipped;F;2024-01-03 10:38:00+00:00;;2024-01-05 00:25:00+00:00;;4
255;212;Complete;F;2023-01-26 11:07:00+00:00;;2023-01-29 07:07:00+00:00;2023-02-01 08:13:00+00:00;1
256;212;Processing;F;2021-03-25 11:07:00+00:00;;;;1
257;212;Shipped;F;2023-02-09 11:07:00+00:00;;2023-02-10 21:07:00+00:00;;1
258;212;Shipped;F;2022-08-08 11:07:00+00:00;;2022-08-10 16:47:00+00:00;;1
259;213;Returned;F;2023-08-11 04:08:00+00:00;2023-08-16 17:25:00+00:00;2023-08-14 02:00:00+00:00;2023-08-16 10:38:00+00:00;3
260;213;Shipped;F;2023-08-07 04:08:00+00:00;;2023-08-07 04:49:00+00:00;;2
261;214;Complete;F;2022-05-28 05:28:00+00:00;;2022-05-29 19:10:00+00:00;2022-06-01 01:15:00+00:00;1
262;215;Processing;F;2024-01-13 07:02:30.737219+00:00;;;;1
263;215;Shipped;F;2024-01-13 07:02:30.737219+00:00;;2024-01-14 17:08:30.737219+00:00;;1
264;217;Complete;M;2020-03-14 05:54:00+00:00;;2020-03-15 16:53:00+00:00;2020-03-20 13:43:00+00:00;1
265;218;Processing;F;2023-11-23 16:55:00+00:00;;;;2
266;219;Complete;F;2023-08-11 14:43:00+00:00;;2023-08-12 07:02:00+00:00;2023-08-17 01:39:00+00:00;1
267;220;Complete;M;2022-07-05 09:49:00+00:00;;2022-07-07 08:41:00+00:00;2022-07-10 20:45:00+00:00;1
269;220;Complete;M;2023-05-18 09:49:00+00:00;;2023-05-20 05:04:00+00:00;2023-05-24 19:56:00+00:00;1
268;220;Processing;M;2023-01-09 09:49:00+00:00;;;;1
270;220;Shipped;M;2021-01-05 09:49:00+00:00;;2021-01-07 17:38:00+00:00;;1
271;222;Processing;M;2022-04-26 03:05:00+00:00;;;;1
272;224;Shipped;F;2023-04-01 08:16:00+00:00;;2023-04-01 14:56:00+00:00;;1
273;225;Cancelled;F;2024-01-14 10:29:00+00:00;;;;1
276;226;Cancelled;F;2023-10-01 07:30:00+00:00;;;;1
